content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
XX,20,Latin,xx,xx,,
"Eros 
Thymele&#803;
","Eros, Thymele",Latin,"eros , thymelẹ, ","erosive, thyme,",,
"Ga (:Gaius) Sabinius Statio plurima (:plurimam) sal(utem)

&#12296;:vv. 2-4 intra lineis dispositis in quadrato scripti sunt&#12297;
Viator Pompeis pane (:panem) gustas
Nuceriae bibes
Nucc++++es","Gaius Sabinius gives lots and lots of greetings to Statius.   --Traveler, at Pompeii you eat bread. At Nuceria, you will drink! At Nuceria...",Latin,"gaius sabinius statio plurimam salutem, , , viator pompeis panem gustas, nuceriae bibes, nucces",gaius sabinius station greetings,,
Primus,Primus,Latin,primus,the first,,
"ic (:hic) abitamus (:habitamus)
felices
nos
dii
faciant","We live here. May the gods make us happy. (Or, May the gods grant that we live here happily.)",Latin,"hic habitamus, felices, nos, dii, faciant","Here we live, may the gods make us happy",,
Iar,again,Latin,iar,again,,
COLA,(Beginning of a word),Latin,cola,strain,,
Postu&#803;(mi),"Oh, Postumius",Latin,postụmi,posthumous,,
Lucilius,Lucilius,Latin,lucilius,brighter,,
"Successus textor amat coponiaes ancilla(m)
nomine Hiredem (:Iridem) quae quidem illum
non curat. &#12296;:vacat&#12297; sed ille rogat illa comiseretur (:commiseretur).
&#12296;:vacat&#12297; scribit rivalis. vale.
Invidiose, quia rumperes (:rumperis) sedare (:sectari?) noli formonsiorem 
et qui est homo pravessimus (:pravissimus) et bellus.","the weaver of success loves the maid-servant of coponia, whose name is the same as that of him, and he does not care for it. but he asks that she be committed, writes the rival. Farewell, jealously, because you should not be followed by breakers, formonster, and who is a most perverse and handsome man.",Latin,"successus textor amat coponiaes ancillam, nomine iridem quae quidem illum, non curat. sed ille rogat illa commiseretur., scribit rivalis. vale., invidiose, quia rumperis sectari noli formonsiorem , et qui est homo pravissimus et bellus.","the weaver of success loves the maid-servant of coponia, whose name is the same as that of him, and he does not care for it. but he asks that she be committed, writes the rival. Farewell, jealously, because you should not be followed by breakers, formonster, and who is a most perverse and handsome man.",,
"Pri=
mus",Primus,Latin,"pri=, mus","pri=, mouse",,
XXXXXII,xxxxx,Latin,xxxxxii,xxxxx,,
Rufus,red,Latin,rufus,red,,
Ampliatus,enlarged,Latin,ampliatus,enlarged,,
"((:anser spectans ad sinistram))
Mulviu Mulvi","Kite (type of bird), kite",Latin,"anser spectans ad sinistram, mulviu mulvi","a goose looking to the left, mulviu mulvi",,
"Africanus moritur
scribet (:scribit) puer Rusticus
condisces (:condiscens) cui dolet pro Africano","An African dies, writes a country boy, sympathizing with those who grieve for the African",Latin,"africanus moritur, scribit puer rusticus, condiscens cui dolet pro africano","An African dies, writes a country boy, sympathizing with those who grieve for the African",,
XXXII,xxxiii,Latin,xxxii,xxxiii,,
{Ac}Accia,{ac}accia,Latin,{ac}accia,{ac}accia,,
Decus,ten,Latin,decus,ten,,
"XIIII III
XX &#12296;:vacat&#12297; XXV &#12296;:vacat&#12297; XXVIII","14, 3, 20, 25, 28",Latin,"xiiii iii, xx xxv xxviii","xiiii iii, xx xxv xxviii",,
"Pelias
Alcestis",Pelias Alcestis,Latin,"pelias, alcestis","furs, falcons",,
XX Heraclae,20 for Heracla,Latin,xx heraclae,xx Heracles,,
MV,MV,Latin,mv,mv,,
A(ulus) Rufus (?),red hall,Latin,aulus rufus ,red hall,,
Adauctus,added,Latin,adauctus,added,,
"IIX Idus Ianuar(ias)
sacculum","that is the door, the bag",Latin,"iix idus ianuarias, sacculum","that is the door, the bag",,
[H]irriu(s),harrow,Latin,hirrius,harrow,,
quati,shake,Latin,quati,shake,,
incala&#7807;(it?),it heated up,Latin,incalaṿit,it heated up,,
M(anius) Valer(ius),more powerful,Latin,manius valerius,more powerful,,
&#928;IIII,?4,Latin/Greek,πiiii,,,
"Quartio&#803;
VIII C&#803;A&#803;","quartiọ, viii c̣ạ",Latin,"quartiọ, viii c̣ạ","quartiọ, viii c̣ạ",,
[O]nesimus,we are one,Latin,onesimus,we are one,,
"Procule
Postumi, va(le)","far away, posthumous, farewell",Latin,"procule, postumi, vale","far away, posthumous, farewell",,
Prim[- - -]ac[- - -]ecis,prim.acgrcecis,Latin,prim.acgrcecis,prim.acgrcecis,,
Onesim(us),we are one,Latin,onesimus,we are one,,
"Pyramus, Heuodus (:Euhodus)","pyramus, euhodus",Latin,"pyramus, euhodus","pyramus, euhodus",,
"&#922;&#941;&#955;&#1010;&#945; L(ucii) l(iberta) 
&#12314;XIX&#12315;",,Latin/Greek,"κέλϲα lucii liberta , ",,,
[- - -]ECMONA[- - -],deaconess,Latin,deecmona.,deaconess,,
Rusat&#818;i&#818;a&#818;,rusat̲i̲a̲,Latin,rusat̲i̲a̲,rusat̲i̲a̲,,
"&#12296;:col. I&#12297;
SSIIX

&#12296;:col. II&#12297;
Primigenia
multa
&#12296;:textus non legitur&#12297;",", ssiix, , , originality, many",Latin,", ssiix, , , primigenia, multa, ",", ssiix, , , originality, many",,
"&#920;
Mortus (:mortuus)
Cirulus (:Caerulus?)
Nonas
poste[r]u (:postridie Nonas)","θ, dead, blue, nines, next day nines",Latin,"θ, mortuus, caerulus, nonas, posteru postridie nonas","θ, dead, blue, nines, next day nines",,
Diane(n)sis,dianensis,Latin,dianensis,dianensis,,
"XVI
  XXI","16, 21",Latin,"xvi,  xxi","16, 21",,
XVI((semis)),16.5,Latin,xvisemis,the sixteenth,,
[- - -]+ Titius v+ Diogenes tuque &#12296;:vacat&#12297; VI,2 Titius v. Diogenes tuque vi,Latin,2 titius v diogenes tuque vi,2 Titius v. Diogenes tuque vi,,
S(exto) Burrenio s(alutem),Greetings to Sextus Burenius,Latin,sexto burrenio salutem,farewell to the sixth Burrenium,,
"Ti comnis
olithus
rectus
",Ti(tus) Comnis Olithus Rectus,Latin,"ti comnis, olithus, rectus, ","you are good, good, straight,",,
Silenu[- - -],silent,Latin,silenu.,silent,,
"Rru
Rru",Text of uncertain meaning,Latin,"rru, rru","rru, rru",,
M(arcus?) Caes,M(arcus) Caes(ar),Latin,marcus caes,you will kill the mark,,
Antonius Rustio s[al(utem)?],Greetings to Antonius Rustio,Latin,antonius rustio salutem,Greetings to Antonius Rustio,,
CA&#803;T&#803;IA&#803;,cạṭiạ,Latin,cạṭiạ,cạṭiạ,,
Castrensis,camp,Latin,castrensis,camp,,
((denarius)) I a(sses) X,"1 denarius, 10 asses (i.e. an amount of money)",Latin,denarius i asses x,denarius i asse x,,
"Viabianus
XIII","Viabianus
13",Latin,"viabianus, xiii","Viabianus, xiii",,
"[------]
Anicet&#803;us
scripsit ISTMVS (:Isthmus)
[------]","Anicetus
Isthmus wrote (this)",Latin,", aniceṭus, scripsit isthmus, ",", aniceṭus, wrote the isthmus,",,
Caniu,Caniu(s?),Latin,caniu,dog,,
"Mentula
V ((sestertiis))","Mentula, five sesterces",Latin,"mentula, v sestertiis","Mentula, five sesterces",,
"Natali
nana
Natalis
Natalis
cinedus (:cinaedus) est
Nata ixs
","nana, nana, nana, nana, nana, nana, nana ixs,",Latin,"natali, nana, natalis, natalis, cinaedus est, nata ixs, ","nana, nana, nana, nana, nana, nana, nana ixs,",,
"Ic (:hic) sumus 
felices 
valiamus (:valeamus)  
recte","We are happy here; may we be well, rightly!",Latin,"hic sumus , felices , valeamus , recte","here we are, happy, strong, right",,
O&#818; E&#818;p&#818;h&#818;a&#818;p&#818;r&#818;odite (:Epaphrodite) NITV,Oh Epaphroditus... (unknown word or part of word),Latin,o̲ e̲p̲h̲a̲p̲r̲epaphrodite nitv,o̲ e̲p̲h̲a̲p̲r̲epaphrodite nitv,,
"Quaestor [- - -?]
D&#803;[- - -?]","seeker, ḍ",Latin,"quaestor , ḍ.","seeker, ḍ",,
"RV
Rufus
&#12296;:vacat&#12297;Nonio
Felicion&#770;i","RU, Rufus, to Nonius Felicio",Latin,"rv, rufus, nonio, felicion̂i","rv, red, nonio, felicion̂i",,
"L(ucius) Acutius L(ucii) f(ilii)
Vol(tinia) Rufus
Ma&#803;g&#803;[i]ster","Lucius Acutius Rufus, son of Lucius, of the Voltinia voting tribe - official (magister)",Latin,"lucius acutius lucii filii, voltinia rufus, mạg̣ister","Lucius sharper son of Lucius, voltinia red, mạ̣ister",,
"&#12296;:retrogradum&#12297;
P(ublius) C((signum))OEIVS",P. Coelius (written backwards),Latin,", publius csignumoeivs",", more public csignumoeivs",,
DVD,DVD,Latin,dvd,dvd,,
Ahtus (:Anthus) apais(?) (:&#7940;&#960;&#945;&#953;&#962;),childless(?) Anthus,Latin/Greek,anthus apais ἄπαις,,,
T  S  I,TSI,Latin,t s i,t s i,,
"R  
XX
XX
XXX","R, 10, 10, 30",Latin,"r , xx, xx, xxx","r, xx, xx, xxx",,
XII,12,Latin,xii,xii,,
Secu(ndus?),Secu(ndus?),Latin,secundus,the second,,
"DI+D
",(Series of letters),Latin,"did, ",did,,
SCRI,(Series of letters),Latin,scri,write,,
Licintus,Licintus,Latin,licintus,allowed,,
IIIIIIVIIIII,"16 (6, 5, 5)",Latin,iiiiiiviiiii,iiiiiiiviii,,
"salve Ilia [---]
",hail that virgin,Latin,"salve ilia virgo, ",hail that virgin,,
"Quorumc 
Primuis","of which, first",Latin,"quorumc , primuis","of which, first",,
Quiscus (:Quisquis) ama(t),Whoever loves,Latin,quisquis amat,anyone loves,,
"&#12296;:stria 6&#12297;
C&#818;o&#818;(nsul?)

&#12296;:stria 8&#12297;
Co(n)s(ul)","Co(nsul?), Consul",Latin,", c̲o̲nsul, , , consul",", c̲o̲nsul, , , consul",,
Fortunate,"Oh, Fortunatus!",Latin,fortunate,fortunately,,
Liberalis,Liberalis,Latin,liberalis,liberal,,
NC,NC,Latin,nc,n.c,,
"SAMNI
QVINT
debes
Felicio
SA
+2?+","Samnis(?) how much(??) do you owe, Felicio, (other letters here)",Latin,"samni, qvint, debes, felicio, sa, 2","samni, qvint, you must, with happiness, sa, 2",,
Vator (:Viator?),Traveler (?),Latin,viator,traveler,,
MCIIRVLIIVS (:Marcus CERULEUS) sit,May Marcus be sky blue (??),Latin,mciirvliivs marcus ceruleus sit,mciirvliivs mark should be cerulean,,
"Cori=
don (:Corydon)",Corydon,Latin,"cori=, corydon","cori=, corydon",,
RR,RR,Latin,rr,rr,,
"&#12296;:stria 9&#12297;
F
&#12296;:stria 10&#12297;
R
&#12296;:stria 13&#12297;
A&#818;","F, R, A",Latin,", f, , r, , a̲",", f, , r, , a̲",,
SAVF(eius?),Sauf(eius?),Latin,savfeius,wiser,,
"II[---]
III MALLI[---]
CATAN[---]
F&#803;OR[---]",(Uncertain words),Latin,"iimari, iii malli, catan., f̣or.","iimari, iii malli, catan., f̣or.",,
"VII Idus Sep[tem]bres
Q(uintus) Postumius
rogavit
A(ulum) Attium
pedicarim (:pedicarem)","On the 7th day before the Ides of September, Quintus Postumius asked Aulus Attius, Can I screw you?",Latin,"vii idus septembres, quintus postumius, rogavit, aulum attium, pedicarem","On the 7th of September, the fifth day after his death, he asked for a pedicel",,
"&#12296;:columna I&#12297;
VIII   VI
&#12296;:columna II&#12297;
VIII
&#12296;:columna III&#12297;
VIII
&#12296;:columna IV&#12297; 
&#923; (:assibus) III
&#12296;:columna V&#12297; 
N","8 6, 8, 8, 3 asses (small coins), N",Latin,", viii  vi, , viii, , viii, , assibus iii, , n",", viii vi, , viii, , viii, , assis iii, , n",,
Paris v&#770;a(le),"Bye, Paris",Latin,paris v̂ale,peer,,
RIIFDC[- - -] &#12296;:litteris inversis&#12297;,riifdc.,Latin,riifdc. ,riifdc.,,
"Ca&#803;listus (:Callistus)
hic lusit
c&#7909;m",Callistus played here with,Latin,"cạcallistus, hic lusit, cụm","cạcallistus, he played here, who",,
VA (:vale),Bye!,Latin,vale,goodbye,,
"&#12296;:stria 8&#12297;
X

&#12296;:stria 11&#12297;
G
G",(Individual letters),Latin,", x, , , g, g",", x, , , g, g",,
Sautran(e) vale,"Bye, Saturanus(?)",Latin,sautrane vale,good bye,,
"VII K(alendas)
Prim(us)
VI K(alendas)
Felix
V K(alendas)
Germanus
","Seven days before the Kalends, Primus. Six days before the Kalends, Felix. Five days before the Kalends, Germanicus",Latin,"vii kalendas, primus, vi kalendas, felix, v kalendas, germanus, ","vii Kalendas, the first, vi Kalendas, Felix, V Kalendas, Germanus,",,
"Numina
Di
","Deities, gods",Latin,"numina, di, ",god,,
S H S,(Incomprehensible series of letters),Latin,s h s,s h s,,
"Nec prius 
absistit, qua[m] 
septe(m) ingentia 
victor corpora
funda(t) hum(i)","Nor did he stop before, as a victor, he scattered (vanquished) seven huge bodies on the ground.",Latin,"nec prius , absistit, quam , septem ingentia , victor corpora, fundat humi",and no sooner did he stop than the victorious body of the seven giants he founded on the ground,,
"Inop(s) 
C(aius) · Iunius 
",Gaius Iunius (is) penniless,Latin,"inops , caius · iunius , ","clumsy, caius · junius,",,
"P(ublius) Corneli=
us
Faventi=
nus 
tonsor","Publius Cornelius Faventius, barber",Latin,"publius corneli=, us, faventi=, nus , tonsor","publius corneli=, us, faventi=, nus, barber",,
CO&#12296;:vacat&#12297; ITBVRTIVS (:Tiburtius),(...other letters here...) Itburtius (for Tiburtius? Tiburtinus?),Latin,co tiburtius,co turburtius,,
Lucilius,Lucilius,Latin,lucilius,brighter,,
"Felicula 
fellas","good luck, fellas",Latin,"felicula , fellas","good luck, fellas",,
IIIIIIIIIIIIIIII,16,Latin,iiiiiiiiiiiiiiii,iiiiiiiiiiiiiii,,
"Lucilius
Lucidae ubique sal(utem)",Lucilius greets his Lucida everywhere,Latin,"lucilius, lucidae ubique salutem","Brighter, brighter greetings everywhere",,
"R 
<:vacat>
M",(Incomprehensible series of characters),Latin,"r , , m","r, m",,
AB,from,Latin,ab,from,,
Duobus,With two (guys?),Latin,duobus,two,,
"Conti[c]u[e]re o(mnes)
&#12296;:vacat&#12297; Siqua
C[-]&#7841;tit quatit",(They all) fell silent.  If any(?).  It shakes (?) It shakes.,Latin,"conticuere omnes, siqua, cạtit quatit","let them all shake, as if they were shaking",,
Hermes,hermes,Latin,hermes,hermes,,
"I HIICVII
VIILIS",(Incomprehensible series of letters),Latin,"i hiicvii, viilis","I of this viili, viilis",,
"Ampliatus
Martialis
Ianuarius
Onesimus
Iustus","Ampliatus
Martial
Ianuarius
Onesimus
Iustus",Latin,"ampliatus, martialis, ianuarius, onesimus, iustus","extended, martial, January, one-sided, just",,
"Regulo feliciter quia verpa est ((:phallus))
Reg
Regu",Good luck to Regulus since he is a prick!,Latin,"regulo feliciter quia verpa est phallus, reg, regu","I rule successfully because the rod is a phallus, king, king",,
"li++
procu IV
pa&#803;n&#803; (:panem?) &#12314;II &#12315;II
coliclo (:cauliculum) II
be (:betam) I
sina (:sinapi) I
me+t (:mentam) I
sale I","fi(rewood?)
overseer (?) - 4
bread - 2, 2
cabbage - 2
beetroot - 1
mustard root - 1
mint - 1
salt - 1",Latin,"li, procu iv, pạṇ panem ii, cauliculum ii, betam i, sinapi i, mementam i, sale i","li, procu iv, pạṇ bread ii, stalk ii, beet i, mustard i, mementam i, salt i",,
&#934;&#951;&#955;&#949;&#953;&#954;&#943;&#969;&#957; &#956;&#959; &#945;´ &#945;&#1010; &#947;´,"Felicio, one bushel, 3 asses",Latin/Greek,φηλεικίων μο α´ αϲ γ´,,,
FLAVD ·,yellow ·,Latin,flavd ·,yellow ·,,
TA++++++ONSIII,(Incomprehensible series of letters),Latin,taonsiii,taonsii,,
"[---]r
[---]s bellissimu (:bellissimum)
[fu]tuerunt",They screwed most beautifully,Latin,"faber, sidus bellissimum, futuerunt","the carpenter, the most beautiful star,",,
"M
M&#770;alia&#770;nus","m, m̂alianus",Latin,"m, m̂aliânus","m, m̂alianus",,
I&#769;III&#769;IIIIIII&#769;IIIIIII&#769;I&#769;I&#769;,20,Latin,íiiíiiiiiiíiiiiiiííí,iiiiiiiiiiiiiiiiiiiiiiii,,
"Restituta rogo II
SVS","restored, I pray thee, svs",Latin,"restituta rogo ii, svs","restored, I pray thee, svs",,
Tertian (:Tertiani) hic abitarut (:habitarunt) [+1?+]ITICES verpa v&#818;a&#818;(le),"The men of the third legion were here. (...incomprehensible series of letters...) Farewell, prick!",Latin,tertiani hic habitarunt 1itices verpa v̲a̲le,the Tertians lived here 1 itices verpa v̲a̲le,,
Micci&#768;&#818;oci&#768;oci&#768;o [t]u [t]uo patri cacanti confregisti p&#803;e&#803;ram Miccioni&#818;s statum ((:figura hominis)) cosiderate (:considerate),"Miccio-cio-cio, you broke the wallet (bag?) for your defecating father. Consider the state of Miccio!",Latin,miccì̲ocìocìo tu tuo patri cacanti confregisti p̣ẹram miccioni̲s statum figura hominis considerate,"When you broke the stool of your father, consider the position of the figure of a man.",,
M(arcus) Aquis Faustus,Marcus Aquis Faustus,Latin,marcus aquis faustus,the lucky mark of the waters,,
[- - -]S&#803;F&#803;[- - -] belissimus (:bellissimus),(…other letters here) The most handsome man,Latin,ṣf̣ bellissimus,ṣf̣ most beautiful,,
ab,from,Latin,ab,from,,
Romanus,Romanus,Latin,romanus,Roman,,
Nicedius&#818;,Nicedius,Latin,nicedius̲,nicer̲,,
"A(nte) d(iem) VI K(alendas) Nov&#770;embres pra&#770;ebuit Surus Petilius ornamen&#770;ta
M(arco) Fa&#770;usto Siloni honoris causa Suri liberti","6 days before the Kalends of November Petilius Syrus presented distinctions to Marcus Fastus Silo, for the sake of honor, freedman of Syrus",Latin,"ante diem vi kalendas nov̂embres prâebuit surus petilius ornamen̂ta, marco fâusto siloni honoris causa suri liberti","the day before, on the sixth day of November, Suru Petilius presented the ornaments, with the marque of the lucky Silone, for the sake of Suru Liberta's honor",,
"Quisquis amat veniat. Veneri volo frangere costas
fustibus et lumbos debilitare deae.
Si potest illa mihi tenerum pertundere pectus
quit (:cur? quid?) ego non possim caput illae (:illi) frangere fuste?","let whoever loves come. I want to come and break the ribs, and weaken the goddess with clubs and loins. If she can pierce my tender breast, why can't I break her head with a club?",Latin,"quisquis amat veniat. veneri volo frangere costas, fustibus et lumbos debilitare deae., si potest illa mihi tenerum pertundere pectus, quit cur quid ego non possim caput illi frangere fuste","let whoever loves come. I want to come and break the ribs, and weaken the goddess with clubs and loins. If she can pierce my tender breast, why can't I break her head with a club?",,
SUCCESS (:Successus?),success,Latin,successus,success,,
"GAVDA ++ [-] +ELL++ et FAENVN&#770;T
",(incomprehensible series of letters),Latin,"gavda  ell et faenvn̂t, ","gavda ell and faenvn̂t,",,
Iucundus,Iucundus,Latin,iucundus,nice,,
"CCC C
CLXXV
CLXXVX&#818;X&#818;V&#818;
C[- - -]","300 100
 175
 175
 100",Latin,"ccc c, clxxv, clxxvx̲x̲v̲, c.","ccc c, clxxv, clxxvx̲x̲v̲, c.",,
"XXXXIIXXXIII
venì ((scripulum))
","xxxiiixxxiii, I came to write",Latin,"xxxxiixxxiii, venì scripulum, ","xxxiiixxxiii, I came to write",,
"IDVNSESISEVSSVITIDIAA
Paris IVC+VONTVS
SEIAITNIVDVSINVM",(incomprehensible series of letters) Paris (incomprehensible series of letters),Latin,"idvnsesisevssvitidiaa, paris ivcvontvs, seiaitnivdvsinvm","idvnsesisevssvitidiaa, pair ivcvontvs, seiaitnivdvsinvm",,
XIII,13,Latin,xiii,xiii,,
"XXXXII
XXXX&#803;I&#803;II
XXXXII
XXXXII
&#12296;:vacat&#12297; LXX",42 43 42 42 70,Latin,"xxxxii, xxxx̣ịii, xxxxii, xxxxii, lxx","xxxii, xxxx̣ịii, xxxii, xxxii, lxx",,
Pompeianis - Aug(ustis) feliciter,Pompeian Augustus successfully,Latin,pompeianis augustis feliciter,Pompeian Augustus successfully,,
S,1/2,Latin,s,s,,
&#12296;:textus in quattuor versibus non legitur&#12297;,(Incomprehensible series of letters),Latin,,,,
Genicius,Genicius,Latin,genicius,Genius,,
Ascula,Ascula,Latin,ascula,needle,,
"hinc
hinc
p(edibus?) XII (de)t(ractis) VII
V",From this from this 12 feet with 7 having been taking away (is) 5,Latin,"hinc, hinc, pedibus xii detractis vii, v","from here, from here, with twelve feet removed, vii, v",,
Nica Crete (:Chreste) issime (:ipsime),,Latin/Greek,nica chreste ipsime,,,
"S
CX","s, cx",Latin,"s, cx","s, cx",,
"((:figura hominis vestimentis induta, togati?))","the figure of a man clothed in clothes, in plain clothes",Latin,"figura hominis vestimentis induta, togati","the figure of a man clothed in clothes, in plain clothes",,
[Ba]lbus et Fortunata duo co(n)iuges,the lame and lucky couple,Latin,balbus et fortunata duo coniuges,the lame and lucky couple,,
Veteri,to the old,Latin,veteri,to the old,,
"LICA ((:tridens?))
",(Series of letters) ((:trident)),Latin,"lica tridens, ",licks,,
Mur,the wall,Latin,mur,the wall,,
Sica,so,Latin,sica,so,,
Sever&#12314;u&#12315; us,sever us,Latin,sever us,sever us,,
&#12314;a[+3?+]&#12315; Nice fellat,nice fellas,Latin, nice fellat,nice fellas,,
"Firmus
Firm[u]s","firm, firm",Latin,"firmus, firmus","firm, firm",,
"((:circulus circulum continens, tracti cum circino))
M&#818;(arcus) C&#818;e&#818;r&#818;r&#818;i&#818;nus",Marcus Cerrinius (between the lines of two concentric circles),Latin,"circulus circulum continens, tracti cum circino, m̲arcus c̲e̲r̲r̲i̲nus","a circle containing a circle, drawn with a circle, m̲arc c̲e̲r̲r̲i̲nus",,
"Evodius
((:navis cum malo veloque)) 

","evodius, a ship with a bad sail, ,",Latin,"evodius, navis cum malo veloque , , ","evodius, a ship with a bad sail, ,",,
"he
he
hac","he, he, here",Latin,"he, he, hac","he, he, here",,
"Psyche 
((:nomen Psyche in medio corde))","psyche, the name psyche in the middle of the heart",Latin,"psyche , nomen psyche in medio corde","psyche, the name psyche in the middle of the heart",,
Marcus Scepsini (:Scepsidi) ubique sal(utem),"the mark of Scepsidus, greetings everywhere",Latin,marcus scepsidi ubique salutem,"the mark of Scepsidus, greetings everywhere",,
vera Victoria,true victory,Latin,vera victoria,true victory,,
Sisininus,Sisininus,Latin,sisininus,Sisininus,,
Restituta bellis moribus,restored to the morals of war,Latin,restituta bellis moribus,restored to the morals of war,,
Ianuarìae ti,your January,Latin,ianuarìae ti,your January,,
"[Venim]us hoc (:huc) cupidi, multo magis ire cupimus","we came here eager, we want to go much more",Latin,"venimus huc cupidi, multo magis ire cupimus","we came here eager, we want to go much more",,
Pithia Prima cum Spartitundiolo modo h[ac],the first pythia with spartitundiolo in this way,Latin,pithia prima cum spartitundiolo modo hac,the first pythia with spartitundiolo in this way,,
"NOI[-]
amv&#803; ((:caput hominis)) ((:phallus directus versus os capitis illius))   
AMOI","noi, I loved the head of a man's phallus directed towards the mouth of that head, I loved",Latin,"noi, amṿ caput hominis phallus directus versus os capitis illius  , amoi","noi, I loved the head of a man's phallus directed towards the mouth of that head, I loved",,
Omnibu&#803;[s P]ompeianis,(Hooray) for all the Pompeians!,Latin,omnibụs pompeianis,all the Pompeians,,
CRI S,cri s,Latin,cri s,cri s,,
Romanus,Roman,Latin,romanus,Roman,,
Ianuariae,of January,Latin,ianuariae,of January,,
"((:Palma est posita inter verba et omnia scuto cum hastis inclusa sunt)) 
&#914;&#913;&#935;&#935;&#921;S (:Bacchis) &#916;&#927;&#924;&#925;&#913; (:domina)


",Bacchis (is) in charge,Latin/Greek,"palma est posita inter verba et omnia scuto cum hastis inclusa sunt , bacchis domina, , , ",,,
Habitos,habits,Latin,habitos,habits,,
"DCCCCC 
DCCCCLXXXX ((sextans)) ((semis))
DCCCLXXXXVIIII ((quadrans)) ((semis)) ((uncia))
","1000
990 1/2
899 (?)",Latin,"dccccc , dcccclxxxx sextans semis, dccclxxxxviiii quadrans semis uncia, ","dccccc , dcccclxxxx a sextant of a half, dccclxxxxviiii a quarter of a half of an ounce,",,
Successus,success,Latin,successus,success,,
"Castor
((:equus))",Castor,Latin,"castor, equus","beaver, horse",,
M(arcum) Va&#770;sculum,Mark the vessel,Latin,marcum vâsculum,Mark the vessel,,
Pompeìanus,Pompeian,Latin,pompeìanus,Pompeian,,
"&#12296;ad dexteram&#12297; ((:galea cristata columnae vel polo imposita)) 
M(---?) V&#803;aler&#803;iu(s) IV&#803;[- - -]
&#12296;:infra&#12297; ((:gladiator armatus))","crested helmet placed on column or pole, m ṿaleṛius iṿ, armed gladiator",Latin," galea cristata columnae vel polo imposita , m ṿaleṛius iṿ, gladiator armatus","crested helmet placed on column or pole, m ṿaleṛius iṿ, armed gladiator",,
"Hic ego bis f u tui (:futui)
forma&#803;e CE",Here I screwed twice. of beauty? (other letters here),Latin,"hic ego bis f u futui, formạe ce","here I have twice fudged, forma ce",,
Sarnus,Sarnus,Latin,sarnus,sarnus,,
Hervi,boiled,Latin,hervi,boiled,,
IIIIIIIIIIIII,13,Latin,iiiiiiiiiiiii,iiiiiiiiiiii,,
R(h)esus v&#770;a(le),rhesus v̂ale,Latin,rhesus v̂ale,rhesus v̂ale,,
"Mim&#770;us&#818;  
BCN
bineis (:&#946;&#953;&#957;&#949;&#8150;&#962;)
((:animal))","mim̂us̲ , bcn, bineis βινεῖς, animal",Latin,"mim̂us̲ , bcn, bineis βινεῖς, animal","mim̂us̲ , bcn, bineis βινεῖς, animal",,
&#7778;&#969;&#963;as (:&#931;&#969;&#963;&#8118;&#962;),,Latin/Greek,ṣωσas σωσᾶς,,,
f&#803;&#7909;&#7841;&#7789; a(sses) II,f̣ụạṭ assesses ii,Latin,f̣ụạṭ asses ii,f̣ụạṭ assesses ii,,
"A B
D",A B D,Latin,"a b, d","a b, d",,
C(aius) Ovius,Gaius Ovius,Latin,caius ovius,a sheep,,
Ti(berii) Claudi Caesaris,tiberius clauius caesar,Latin,tiberii claudi caesaris,tiberius clauius caesar,,
Anthis  va(le),Anthis. Bye!,Latin,anthis vale,goodbye ducks,,
Nero quis n,I don't know who n,Latin,nero quis n,I don't know who n,,
Cravid+net,gravitate,Latin,cravidnet,gravitate,,
