content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
calos Paris,"Textus secundum (1); scriptus sub CIL 04, 02176. mensurae ex apographo apud (1)","Pompei (Napoli) VII.12.18-20, Lupanare, cella f",,,Graffito/incised,Latin/Greek,2179,"AGP-EDR145436, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR145436&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
"((:labyrinthus circularis))
","Textus secundum (1), mensurae secundum (2). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>Ante EDR168137<br>Pone EDR167831","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro nord",,Drawing of a labyrinth,Graffito/incised,,---,"AGP-EDR148380, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR148380&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,round labyrinth,((:labyrinthus circularis))
Icare v&#803;(ale),"Textus et mensurae secundum (1), contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Titulus magnis litteris scriptus est (4).<br>In eadem columna EDR127298 (stria 5), EDR128014 (stria 8), EDR128294 (stria 15).","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXVII, striae 12-16","Bye, Icarus",Greetings to Icarus,Graffito/incised,Latin,8600,"AGP-EDR127299, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127299&gt; [accessed: 27 Mar 2023]","col. XXVII, striae 12-16",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Balai,Textus secundum (1). <br>Infra EDR163403.,"Pompei (Napoli), Regio V.1.15-16, Façade",[Text of uncertain meaning],Graffito,Graffito/incised,Latin,4027,"AGP-EDR163404, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163404&gt; [accessed: 27 Mar 2023]","V.1.15-16, Façade",,0,0,Unknown,,Pompeii,,,,Not found,,
IIIIII,Textus secundum (1).<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",6,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166073, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166073&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
"ABCDE 
ABCDEF","Textus secundum (1).<br>V. 1. alt. 1,5 cm; latus oriens columnae<br>V. 2. alt. 3,2 cm; latus occidens columnae","Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci","[letters of an alphabet; top is written, starting from the East, and bottom is written, starting from the West]",Alphabet,Graffito/incised,Latin,5456,"AGP-EDR163900, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163900&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
"Antonius
&#12296;:trans hanc&#12297;
M M M S
","Textus secundum (1)<br>v. 2-3: Secunda inscriptio trans primam scripta est, obliterans primam: M (in litteris ANTO, ingens M)   M (in litteris ON)   M (in litterius IVS, minor M)  S (in littera S)","Pompei (Napoli), Regio I.4.22-23, Facade",,,Graffito/incised,Latin,2413,"AGP-EDR149187, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR149187&gt; [accessed: 27 Mar 2023]","I.4.22-23, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
XXXXXIII,Textus secundum (1).<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",53,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166082, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166082&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
IIIIIIII,Textus secundum (1).<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",8,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166086, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166086&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
Chole (:Chloe) Clemen,Textus secundum (1). Contulerunt sed non invenerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>v.1: CHOLE pro Chloe scriptum est; sc. Chloe Clemen(s) (salutem?) (2)<br>Duo apographa apud (2) et (3) dissimillia sunt.<br>Supra EDR168067 (stria 7),"Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXXI, stria 7","Chloe, Clemen(s?)",Graffito naming Chloe,Graffito/incised,Latin,8608,"AGP-EDR127423, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127423&gt; [accessed: 27 Mar 2023]","col. XXXI, stria 7",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"V
",Textus secundum (1).<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",5,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166079, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166079&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
C(aius) Lalius,"Textus et mensurae secundum (2), periit (3). Contulerunt Zimmermann Damer et Benefiel (AGP), et vestigia exigua in tectorio corroso videntur a. 2019.<br>Hic titulus trans striam (C LALIV) et fasciolam (S) scriptus est. <br>Permulti tituli in hac columna, multi quorum imagines sunt, inveniuntur.<br>Tituli in hac columna: EDR127187 (hic titulus, stria 4); EDR127426 (stria 6); EDR127185, EDR173705 et EDR168071 (stria 11); , EDR168073, EDR173785, et EDR168106, (stria 12); EDR168070 et EDR168077 (stria 18).","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXXIII, stria 4",Gaius Lalius,Graffito naming Lalius,Graffito/incised,Latin,8609,"AGP-EDR127187, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127187&gt; [accessed: 27 Mar 2023]","col. XXXIII, stria 4",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
((:figura hominis currens ad sin.)),"Textus et mensurae secundum (3), contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Textus descriptus sic: una figurina virile di prospetto eseguita rozzamente con pochi tratti (1); menschliche Figur läuft nach links (3).<br>Permulti tituli in hac columna, multi quorum imagines sunt, inveniuntur. EDR168070, EDR168071, EDR168073 et EDR168106 figuras hominum exhibent.<br>Tituli in hac columna: EDR127187 (stria 4); EDR127426 (stria 6); EDR127185 , EDR173705 et EDR168071 (stria 11); EDR168073, EDR173785 et EDR168106 (hic titulus) (stria 12); EDR168070 et EDR168077 (stria 18)","Pompei (Napoli), Regio II.7.1, Campus ad Amphitheatrum, col. XXXIII, stria 12",,Drawing of a person,Graffito/incised,,,"AGP-EDR168106, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168106&gt; [accessed: 27 Mar 2023]","col. XXXIII, stria 12",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Human figure moving to the left,((:figura hominis currens ad sin.))
"Tu, dea, tu presenos tro (:praesens nostros) succurre labore (:labori)",Textus secundum (2)-(11)<br>v. 1: PRSENOS TRO pro PRAESENS NOSTROS; LABORE pro LABORI<br>v. 1: II pro littera E scriptum<br>Confer initium versus Verg. Aen. IX.404,"Pompei (Napoli), R of VII.3.24, Facade",,,Graffito/incised,Latin,2310k,"AGP-EDR159688, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR159688&gt; [accessed: 27 Mar 2023]","R of VII.3.24, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
Mystice va(le),"Textus et mensurae secundum (2).  Contulerunt Sypniewski et Benefiel (AGP) a. 2019; tantum vestigia in tectorio corroso extant.<br>Hic titulus una cum EDR127818 apud (1) editus est.<br>Mysticus fuit musicus qui nominatur cum Aniceto domino scaenicorum (EDR154535) (3)-(4).  Nomen Mysticus fortasse invenitur etiam in titulis CIL 04, 05196 et 05198.  <br><br>Supra EDR127818 (textus non legitur), EDR127817 (CHLOE VA)<br>Permulti tituli in eadem columna inveniuntur: EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823 (stria 10);  EDR127824, EDR073638 (stria 11); EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR127140, EDR127231, EDR127233, EDR127234 (stria 15); EDR167628 (stria 16-17)<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXI, stria 5","Bye, Mysticus",Greetings to Mysticus,Graffito/incised,Latin,8618a,"AGP-EDR127816, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127816&gt; [accessed: 27 Mar 2023]","col. LXI, stria 5",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
XV,Textus secundum (1).<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",15,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166095, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166095&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
Fortunata fellat,Textus secundum (1).<br>Hic titulus post Fiorelli (1862) non visus est.,"Pompei (Napoli) VII.12.18-20, Lupanare, cella d",,,Graffito/incised,Latin,2275,"AGP-EDR151049, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151049&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
"q&#7909;isquis es, amiss&#7885;&#7779; hi&#7751;[c iam ob]=
liviscere Gra&#7883;&#7885;s.
Scribit Narciss(us)
ER",Textus secundum (1); mensurae ex apographo apud (1)<br>v. 1-2: versus Verg. Aen. II.148<br>v. 4: SER(VUS) (10),"Pompei (Napoli), Regio VIII.1.1, Basilica",,,Graffito/incised,Latin,1841,"AGP-EDR159690, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR159690&gt; [accessed: 27 Mar 2023]",,Basilica,7,1,VIII.1,Insula VIII.1,Pompeii,433032,,"2,6",Basilica,,
"P(ubli) Pro=
pesi
cuntus. 
Verpa
que (:quae) is=
tuc
leges.
&#12296;:vacat&#12297;
Non es
fiden=
ter,
script=
o (:scriptor)
((:phallus))","Textus secundum (5), mensurae secundum (7). Contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Tectorium nunc maxime corrosum, sed vestigia adhuc videntur a. 2019.<br>v. 5: II pro littera E scriptum<br>vv. 8-12: scripti alia manu lectoris cuiusdam (5)<br>v. 3: Legerim CVNTVS, pro CONTVS scriptum (5)<br>v. 4: VERPA (E)S (1), VERP(a) ES (2), VERPA (5)<br>v. 5: QVI (2), QVE pro QVAE (5)<br>v. 7: LEGES pro LEGIS (2)<br>vv. 8-12: NON ES (= ne sis) / FIDEN/TER (pro fidens). / SCRIPT/O. (2)<br>vv. 1-13: P. PROPESICVNIVS (SCRIBIT): VERPA (E)S QVI ISTVC LEGES (pro legis)! NON ES (=ne sis) FIDENS (=ne fidas) SCRIPTO! (1)<br>vv. 1-13: P. PROPESICVNIVS (nomen fictum?) (SCRIBIT): VERP(A) ES QVI ISTVC LEGES (pro legis). NON ES (=ne sis) FIDENTER (pro fidens) SCRIPTO. (2)<br>vv. 1-13: POPIDIVS/ SECVNDVS/ VERPA (E)S/ QVI IS/TVC / LEGES / NON ES / PEDICA/TOR / SCRIPT/E (3) <br>vv. 1-3: P(ublius) PRO/PESI/CVNIVS (6)<br>In eadem columna: EDR127809 (stria 6), EDR127812 (striae 7-8), EDR168074 (stria 8), EDR127814 (stria 14), et EDR168120 (stria 17).","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXXV, stria 17","Publius Propesius, jerk. You who read this are a prick.    -- You are not trustworthy, writer. (drawing of a phallus)",Insult,Graffito/incised,Latin,8617,"AGP-EDR127815, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127815&gt; [accessed: 27 Mar 2023]","col. XXXV, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Drawing of a phallus,((:phallus))
IIIIIIIII,Textus secundum (1).<br>Numeri Romani a linea media transfiguntur.<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.<br>,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",9,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166088, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166088&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
"VI
",Textus secundum (1).<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",6,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166089, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166089&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
"&#12296;:ad perpendiculum&#12297; 
M(arcus) Atillius (:Atilius) hic stationem fecit 
","Textus et mensurae secundum (2).  Contulerunt Sypniewski et Benefiel (AGP); pauca vestigia in tectorio corroso adhuc a. 2019 extant. <br>v. 1: ATILLIVS pro ATILIVS. II pro littera E scripta.  Littera T maior aliis est.  <br>De eodem nomine ATILIVS in campo ad amphithetatrum, vide EDR128661 et EDR128738 (col. XVIII) <br>Infra EDR127140, EDR127231. Hic titulus in eodem loco ut EDR127233 scriptus est. <br>Permulti tituli in eadem columna inveniuntur: EDR127816, EDR127817, EDR127818 (stria 5); EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823,  EDR073638 (stria 10);  EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR167628 (stria 16-17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXI, stria 15",Marcus Atillius made a stop here.,Graffito mentioning travel,Graffito/incised,Latin,8625d,"AGP-EDR127234, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127234&gt; [accessed: 27 Mar 2023]","col. LXI, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"&#12296;:ad perpendiculum&#12297;
ABC&#770;DE&#818;F&#818;G&#818;H&#818;I&#818;L&#818;","Textus et mensurae secundum (2), periit (3). Contulerunt et, tectorio nunc abraso, non invenerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Titulus in fasciola inter strias 15-16 scriptus est (2)<br>v. 1: A ad L (1)-(2); litterae E-L abradi videntur ex schedis Marichal apud (3), nunc omnes perierunt. <br>v. 1: C et D in nexu in apographo apud (3); II pro littera E scriptum<br>Permulti tituli in eadem columna inveniuntur:  EDR127816, EDR127817, EDR127818 (stria 5); EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823 (stria 10);  EDR127824, EDR073638 (stria 11); EDR127826, EDR127827 (stria 14); EDR127140, EDR127231, EDR127233, EDR127234 (stria 15); EDR167628 (stria 16-17)<br><br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXI",,Alphabet,Graffito/incised,Latin,9285b,"AGP-EDR167628, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167628&gt; [accessed: 27 Mar 2023]",col. LXI,Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"N&#770;T
MA","Textus secundum (1); mensura secundum (2).  Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (4).  <br>Mensurae latitudinis secundum (2): NT: 1,0; MA: 1,8 cm<br>vv. 1-2: alcuni sgorbi di linee sinuose si incolonanno [queste lettere] (1). Hae lineae in imagine apud (3) videri possunt.<br>Infra EDR127820 (stria 6-10) et EDR127821 (stria 6-7)<br>Permulti tituli in eadem columna inveniuntur: EDR127816, EDR127817, EDR127818 (stria 5); EDR127822 (stria 7); EDR127823 (stria 10);  EDR127824, EDR073638 (stria 11); EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR127140, EDR127231, EDR127233, EDR127234 (stria 15); EDR167628 (stria 16-17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXI, stria 6",(Individual letters),Graffito,Graffito/incised,Latin,8619,"AGP-EDR127819, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127819&gt; [accessed: 27 Mar 2023]","col. LXI, stria 6",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
XXII,Textus secundum (1).<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",22,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166092, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166092&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
Icar(us),"Textus secundum (2), mensurae ex apographo apud (2). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (3).  <br>Nomen ICARVS in salutatione in campo ad amphitheatrum etiam in columna XXVII invenitur: cf. EDR127299 (ICARE V(ALE) ) <br>In eadem columna EDR127810 (stria 4); EDR127811 (stria 8); EDR127813 (stria 12); EDR128097 (striae 8-9); EDR128098 (stria 15); EDR167629 (stria 16)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIV, stria 8",Icarus,Graffito naming Icarus,Graffito/incised,Latin,8636b,"AGP-EDR127811, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127811&gt; [accessed: 27 Mar 2023]","col. LXIV, stria 8",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Nauplius
Clappo salu(tem)","Textus secundum (2), mensurae ex apographo apud (2). Periit (3).  Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant.  <br>vv. 1-2: titulus trans duas strias et fasciolam scriptus est.<br>v. 1: Nomen NAVPLIVS in campo ad amphitheatrum (col. LXV) in eadem manu invenitur: EDR127833<br>In eadem columna EDR127801, EDR127806, EDR127808 (stria 12); EDR128114 (striae 14, 16); EDR167499 (stria 15); EDR127368 (stria 16)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIII, striae 13-14",Nauplius sends greetings to Clappus.,Greetings,Graffito/incised,Latin,8633,"AGP-EDR127790, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127790&gt; [accessed: 27 Mar 2023]","col. LXIII, striae 13-14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"R&#803;A&#803;
VR","Textus secundum (3), mensurae ex apographo apud (2). Contulerunt H. Sypniewski et R. Benefiel (AGP); vestigia tectorio corroso adhuc a. 2019 extant.<br>vv. 1-2: RA/VR pro RARV(S)(?) (2). <br>vv. 1-2: 'Segni chiari abbastanza, ma di difficile comprensione' (1). Lectio v.1 incertissima est (3).<br>In eadem columna EDR127810 (stria 4); EDR167500 (stria 6); EDR127811 (stria 8); EDR128097 (striae 8-9); EDR128098 (stria 15); EDR167629 (stria 16)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIV, stria 12",(Incomprehensible series of letters),Graffito,Graffito/incised,Latin,8636c,"AGP-EDR127813, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127813&gt; [accessed: 27 Mar 2023]","col. LXIV, stria 12",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
IIIIIIII,Textus secundum (1).<br>Hic titulus unus ex multis numeris Romanis in hac eadem pariete scriptus est.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",8,Tally marks,Graffito/incised,Latin,4039,"AGP-EDR166072, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166072&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
Militibus ub(ique salutem?),"Textus secundum (1)(3), et mensurae secundum (2). Periit (3), sed contulerunt H. Sypniewski et R. Benefiel (AGP) a. 2019 et vestigia tectorio corroso adhuc extant.<br>Titulus trans duas strias et fasciolam scriptus est.<br>v. 1: MILITIBVS VB(IQUE SALVTEM) (1) et Marichal in schedis apud (3).<br>v. 1: MILITIBV VA (2), quod explicatur ut MILITIBVS VA(LEATIS) vel V(BIQUE) (SALVTEM) (?).<br>Della Corte multum de militibus et dilectu exercitus in hoc campo Pompeiis loquitur a. 1939 (1), sed illam coniecturam negat apud (2). <br>In hac columna prope et in eadem altitudine EDR167500 (stria 6); <br>Etiam in eadem columna EDR127810 (stria 4); EDR127811 (stria 8); EDR127813 (stria 12); EDR128098 (stria 15); EDR167629 (stria 16).","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIV, striae 8-9",(Greetings?) to soldiers everywhere,Graffito mentioning soldiers,Graffito/incised,Latin,8637,"AGP-EDR128097, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128097&gt; [accessed: 27 Mar 2023]","col. LXIV, striae 8-9",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Phosphor(us) tuis
choreis","Textus mensuraeque secundum (1) (2), locus inventionis secundum (3), aliter (1) (2 )(4)<br>Cf. EDR151709, fortasse eadem manu","Pompei (Napoli), Regio VI.9.1-2, Via di Mercurio, Facade",,,Graffito/incised,Latin,1336,"AGP-EDR151707, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151707&gt; [accessed: 27 Mar 2023]","VI.9.1-2, Via di Mercurio, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
q&#803;uo&#803;&#7779;,"Textus secundum (2), mensurae ex apographo apud (2). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc valde abraso, periit (3).<br>v. 1: Quos(?) (2); Lectio incerta est (3)<br>v. 1: scritto da sotto in su, verticalmente... l'inizio della reminiscenza Virgiliana, Aen., I, 135 (1)<br>In eadem columna EDR167501 (stria 4), EDR127835 (stria 13), EDR127833 (striae 13-14), EDR171304 (striae 15-16), EDR127838 (stria 20)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXV, stria 20",Whom,Graffiti,Graffito/incised,Latin,8641,"AGP-EDR127838, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127838&gt; [accessed: 27 Mar 2023]","col. LXV, stria 20",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"[nil sibi] habere aiunt Eum[am totum]que locare.
[q]uid &#7789;um? [plus a]deo condere uti liceat","Textus secundum (8), aliter (1)-(7); scriptus infra CIL 04, 04969; in eadem manu CIL 04, 04966-04973 sunt (1); mensurae ex apographo apud (1).<br>v. 1: aiunt +eum++++ (3); fortasse: aiunt num[mos (4); [vim mucronis] habere aiunt, eundemque locare! Galdi et Pierleoni apud (6); ab initio versus M· (11)<br>v. 2: ]VI+VM[ (3) (1); vi]deo aut stu]deo (4); [frigiditatem a]deo condere uti liceat Galdi et Pierleoni apud (6)","Pompei (Napoli), Regio VIII.7.19, Teatro Piccolo",,,Graffito/incised,Latin,4970,"AGP-EDR144785, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR144785&gt; [accessed: 27 Mar 2023]",,Teatro Piccolo,8,19,VIII.7,Insula VIII.7,Pompeii,433032,Small Theater,18,Teatro Piccolo,,
Firmus,Textus secundum (1) <br>v.1: litterae R et S cursivae sunt. (1),"Pompei (Napoli), Regio VIII.7.16, Quadriportico del Teatro",,,Graffito/incised,Latin,2482,"AGP-EDR151728, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151728&gt; [accessed: 27 Mar 2023]",,,29,16,VIII.7,Insula VIII.7,Pompeii,433032,,17,Quadriportico del Teatro,,
