content,contentTranslation,languageInEnglish,preprocessed,translated
"[---]ης
[---]  τῆς  κ̣α̣λῆς  κυρί=
[ας] [---] ++++  καλῶν  χρωτῶ<sup>ν</sup>
[---] ++++++++++ ΕΩΝ ΚΕ++
[---]+++++ς  τῶν Κ+TΩΝΚΑ̣++
[---]++++++  τῆς  καλῆς  κυλεία̣ς̣ (:κυρίας)
[---] +++++++++++++++++ ΚΟΤΩΝΤΟ+
〚&#60;:textus non legitur&#62;〛
[---]οτο ++++++++++++++ ΕΝ ΜΕΣΩ++
[---]++[------]++++OΔΕ  μία  ὥρα  ἐστί
[---]ο++[--]+ΑΝΑΝ̣++++","of the good lady, of the good colors, of the good colors, of the good women",Greek,"ης, ας τῆς κ̣α̣λῆς κυρί, ας των καλῶν χρωτῶν,, εων κε, ς τῶν κtωνκα̣, ας τῆς καλῆς κυλεία̣ς̣ κυρίας, εν κοτωντο,, οοτο εν μεσω, newlineoδε μία ὥρα ἐστί, καιοαναν̣","of the good lady, of the good colors, of the good colors, of the good women"
" φιλῶ  ἧς  ὁ  ἀρι[θμὸς]
χις ο̣πολλ+[---]",“I love a woman whose number is 616.”,Greek," φιλῶ ἧς ὁ ἀριθμὸς, χις ο̣πολλγ","φιλῶ ἧς ὁ ἀριθμὸς, his ọpollg"
ΟΞΕY+Ṭ,acid,Greek,οξεyṭ,acid
"Πι̣+++ευδον++
ἐπῆλθε̣ν̣","pịeudon, ἐπῆλθε̣ν̣",Greek,"πι̣ευδον, ἐπῆλθε̣ν̣","pịeudon, ἐπῆλθε̣ν̣"
ολοπληθος ,crowded,Greek,ολοπληθος ,crowded
"ὑπ’ ὀψὲ ὄρη Πάρις 
ΠΕ++Ε+ΟΡΕΦ[---]
χρυσο̣[---]","ὑπ’ ὀψὲ ὄri paris, peoref, chrysọpe",Greek,"ὑπ’ ὀψὲ ὄρη πάρις, πεεορεφ, χρυσο̣πε","ὑπ’ ὀψὲ ὄri paris, peoref, chrysọpe"
"[---]ος δικα[---]
[---] ζοη [---]
 ἄγγελος  π̣υγίζει  μ̣έ",A messenger (or angel) is buggering me.”,Greek,"ος δικαμου, ζοη, ἄγγελος π̣υγίζει μ̣έ","all mine, life, angel bless me"
Τίτος,Titus,Greek,τίτος,Titus
"
- - - - - -
+++[--]+[-]++++[---]
ταθίου  καὶ πρωτο +[---]
 ε̣ὐχόμεθα  ε̣ὐτυχεῖ[ν]
 μετὰ  ἡμῶν.  εὐτύχ[ει]
Σ̣αβεῖνε  μετὰ Εὐστα =
〚ΥΤΩ〛θίου.  &#60;:vacat&#62; 
 εὐθόμεθα (:εὐχόμεθα)  σὲ  εὐτυχεῖ[ν]
 μετὰ  ὑμ̣ῶν (:ἡμῶν)
 πολλ<sup>ο</sup>ῖς ἔτεσιν. ","“. . . [Eus]tathios (?) and first . . . We pray to have good fortune with us. Good luck, Sabinus with Eustathios. We pray that you may have good fortune with us for many years.”",Greek,",,., ταθίου καὶ πρωτο υ, ε̣ὐχόμεθα ε̣ὐτυχεῖν, μετὰ ἡμῶν. εὐτύχει, σ̣αβεῖνε μετὰ εὐστα, θίου., εὐθόμεθα εὐχόμεθα σὲ εὐτυχεῖν, μετὰ ὑμ̣ῶν ἡμῶν, πολλοῖς ἔτεσιν. ",",,., Tathiou and first of all, we wish you luck, with us. Good luck, save me with you, Lord, we wish you good luck, with you, for many years."
"[---]ΤΟΝ 
[---]Ο++
[---] &#60;:textus non legitur&#62;","with tuna,",Greek,"μετον, ο, ","with tuna,"
"τ̣ί̣τθη 
[---] Τ+++ O 
[--]πλευς 
 πινκίρνας
 πρῶτος","τ̣ί̣τθη, for τ o, pleis, pinkirnas, first",Greek,"τ̣ί̣τθη, για τ o, πλευς, πινκίρνας, πρῶτος","τ̣ί̣τθη, for τ o, pleis, pinkirnas, first"
"[---]  ἐ̣ξ̣ώ̣λη  σου
[---]  ἀ̣δε̣λ̣φὸς̣  ἐξώλη
 [τῷ]  [ἀναγιν]ώ̣σ̣κοντι
[---Τ]ροφίμη
[---] +ΝΕΘΗΣ 
[---] +ΑΙ ΕΝΟΗΓΑΣ 
Θάλλος","s ἐ̣ξ̣ώ̣li your, the ἀ̣dẹλ̣φὸς̣ ἐξολι, τῷ αναγινο̣σ̣konti, food, ai nethis, ai ai enoigas, thallos",Greek,"ς ἐ̣ξ̣ώ̣λη σου, ο ἀ̣δε̣λ̣φὸς̣ ἐξώλη, τῷ ἀναγινώ̣σ̣κοντι, τροφίμη, αι νεθης, αι αι ενοηγας, θάλλος","s ἐ̣ξ̣ώ̣li your, the ἀ̣dẹλ̣φὸς̣ ἐξολι, τῷ αναγινο̣σ̣konti, food, ai nethis, ai ai enoigas, thallos"
 φίλ’  ἐλάθε{ι}  ὢν  [ν]όθ{η}<sup>ο</sup>ς,"“Friend, did it escape your notice that you’re a bastard?”",Greek, φίλ’ ἐλάθε{ι} ὢν νόθ{η}ος,"friend, wrong"
ζήτη[μα] [---],newline issue,Greek,ζήτημα newline,newline issue
/Δφξβ ,/dfxv,Greek,/δφξβ ,/dfxv
"
κυβ 
οβ ",", cubic, ob",Greek,", κυβ, οβ ",", cubic, ob"
"[------]+ΕΙΝΤ[---]
+Ν++++ΕΙΣΕΘΩΚΑ[---]
ΒΩΦ+[-]++Θ̣ ΕΕΚΑ[---]
+Ε+Η++ΟΣ̣ΩΡΕ[---]","int., sleep, sleep, sleep",Greek,"ειντ., νεισεθωκα, βωφθ̣ εεκα, εηοσ̣ωρε,","int., sleep, sleep, sleep"
"
 ψωλή",", poop",Greek,", ψωλή",", poop"
"Κέλσου
Κέλσου
Κέλσου
Κέλσου
Κέλσου
Κέλσου","move, move, move, move, move, move",Greek,"κέλσου, κέλσου, κέλσου, κέλσου, κέλσου, κέλσου","move, move, move, move, move, move"
"μίαν̣ φιλ[ῶ]
ἧς ἀριθμ[ὸς] [+2?+]",“I love one woman whose number is [--].”,Greek,"μίαν̣ φιλῶ, ἧς ἀριθμὸς ","μιαν̣ φιλῶ, ἧς ἀριθμὸς"
" θελητὴ
 ἡ  κυρία",“The lady is desired (?).”,Greek," θελητὴ, ἡ κυρία","willing, the lady"
"
 ζήτημα
 δέκα  ἐ̣[πὶ]
 δέκα
ρ
 πρὼ  γαμε =
[ῖ]ν  μὴ̣  πίνετε
ΗΝΗΝ ","“Ten by ten, 100.”",Greek,", ζήτημα, δέκα ἐ̣πὶ, δέκα, ρ, πρὼ γαμε, ῖν μὴ̣ πίνετε, ηνην ",", issue, ten ἐ̣πὶ ten"
"
ΤΟΣ 
 &#60;:vacat&#62; +ΑΜΟΝΩ 
 ἐσφά =
γη","“He (she, it) was slaughtered.”",Greek,", τος, αμονω, ἐσφά, γη",", tis, ano, esfa, earth"
" ζήτη =
μα","ask, ma",Greek," ζήτη, μα","ask, ma"
"+
[---]  τόπος",",, place",Greek,",, τόπος",",, place"
οξ ,ox,Greek,οξ ,ox
"ω ω ω ω ω ω 
ο ο ο ο ο ο 
θ̣+ο̣ρι ","oh oh oh oh oh oh, o o o o o o o, θ̣ο̣ri",Greek,"ω ω ω ω ω ω, ο ο ο ο ο ο, θ̣ο̣ρι ","oh oh oh oh oh oh, o o o o o o o, θ̣ο̣ri"
 Ἀσείας,asceias,Greek, ἀσείας,asceias
 εἰς ++[---],into you,Greek, εἰς σε,into you
" δῆμος
 σ̣ὺν ε̣ +
Ε ++ Ι̣
 πυγίζε =
ται",“He is being buggered.”,Greek," δῆμος, σ̣ὺν ε̣, ε ι̣, πυγίζε, ται","δῆμος, σ̣ὺν ε̣, ε ι̣, pygize, ται"
" τ̣ῶν  ὀφθαρμί =
ων  ἐθαραπεύ 
θη",“He/she was healed in the eyes.”,Greek," τ̣ῶν ὀφθαρμί, ων ἐθαραπεύ, θη","τ̣ῶν ὀφθarmι, ον ἐθαραπευ, thi"
"ΑΜΠΗΣ 
+ΩΣ ","ambe, as",Greek,"αμπης, ως ","ambe, as"
"ΚΑΙΑΠΟ̣ΕΑΝΟΣ 
Εἴσις","kaiapọeanos, ἴisis",Greek,"καιαπο̣εανος, εἴσις","kaiapọeanos, ἴisis"
"ΑΨΟΕ
ΟΒ ΗΘΧΑ 
ΕYΗ 
ΕΥΗ ","apsoe, ov itha, eyhi, evi",Greek,"αψοε, οβ ηθχα, εyη, ευη ","apsoe, ov itha, eyhi, evi"
Δημόκ̣ριτος,Democritus,Greek,δημόκ̣ριτος,Democritus
 Ἀσίας,asia,Greek, ἀσίας,asia
" [χ]αῖρε  Τράλ =
[λε]ις  πρώτ =
η̣  Ἀνατο =
λῆς (or  ἀνατο=
λῆς)
Π+ΡΕΙΣ 
ΗΧΑ+Η ","“Greetings Tralleis, first of Anatolia (or ‘of the East’).”",Greek," χαῖρε τράλ, λεις πρώτ, η̣ ἀνατο, λῆς or ἀνατο, λῆς, πρεις, ηχαη ",hello tral
"Ε[---] +Σ ΔΕΙ[---]
ΚΑΤΑΠΟΤΑ [---]
Γ̣ΡΑΦΙΤΑΥ[---]
ΣΙΠΙΛΑΣ[---]
ΜΑΝΗ̣Σ+[---]
 ταῦτα  λεγόμ̣[ε]νο̣ς̣ [---]
 ἂν  σοὶ  δοκεῖ [---]",ei s déi?,Greek,"ει σ δει;, καταποτα, γ̣ραφιταυ, σιπιλας, μανη̣ς, ταῦτα λεγόμ̣ενο̣ς̣, ἂν σοὶ δοκεῖ γραφ",ei s déi?
"ὀφθαλ=
μῶι ",“For the eye.”,Greek,"ὀφθαλ, μῶι ","Eye, eye"
((:stellae)),stellae,Greek,stellae,stellae
+εχαλ ,echal,Greek,εχαλ ,echal
"του ε+[---]
λουσιν [---]
πης ","of e, wash, drink",Greek,"του ε, λουσιν, πης ","of e, wash, drink"
ΚΕΗΡ ,old man,Greek,κεηρ ,old man
"ΑΝ &#60;:vacat&#62; Θ 
ΚΕ 
Υ ","if i, ke, u",Greek,"αν θ, κε, υ ","if i, ke, u"
"ΑΛΙ[---]
ΔΕ̣Ι[---]","ali', newline",Greek,"αλι', δε̣ιnewline","ali', newline"
κοε ,hey,Greek,κοε ,hey
"Ἀλέξανδ =
ρε","Alexander, hey",Greek,"ἀλέξανδ, ρε","Alexander, hey"
"
Κ̣ΟΕΣ̣
 πρώτοις
[---]ο̣ι̣ς̣ ΜΝΑ ++ΔΕ[-]Ε̣",", first, first, DEE DEE",Greek,", κ̣οες̣, πρώτοις, δο̣ι̣ς̣ μνα δεε̣",", first, first, DEE DEE"
"ΑΜ 
Π̣Ε 
+++ δεστανωι ","am, p̣e, destanoi",Greek,"αμ, π̣ε, δεστανωι ","am, p̣e, destanoi"
ὁ ἀναγ ,the relator,Greek,ὁ ἀναγ ,the relator
"[---]ΗΣ Ο̣[---]
ΨΝ[---]
 &#60;:vacat&#62; +[---]","/ηs ọallos, psn., m",Greek,"/ης ο̣αλλος, ψν., μ","/ηs ọallos, psn., m"
[---]  Ἀ̣σ̣ίας,", ἀ̣σ̣ias",Greek,", ἀ̣σ̣ίας",", ἀ̣σ̣ias"
"++++ΙΚΑ+ΑΚ 
Ι+++ Μ+ [--]  ἑατὸν (:ἑαυτὸν)
 γυνὴ ἀχάριστον","ikaak, i m haeathon eaavthon, ungrateful woman",Greek,"ικαακ, ι μ ἑατὸν ἑαυτὸν, γυνὴ ἀχάριστον","ikaak, i m haeathon eaavthon, ungrateful woman"
"ΦΑΙ 
ΙΙ 
ΙΙ 
ΦΙΛΩ ++++++++++ΑΡΑ ","fai, ii, ii, i kiss ara",Greek,"φαι, ιι, ιι, φιλω αρα ","fai, ii, ii, i kiss ara"
"τρηθ̣η̣ει 
δειχει ","it shows, it shows",Greek,"τρηθ̣η̣ει, δειχει ","it shows, it shows"
"ΑΜ+++++
ΠΕΙΠ++","um, say",Greek,"αμ, πειπ","um, say"
"+++
se 
e++++
++",", se, e,",Greek,", se, e, ",", se, e,"
"[---]ΗΚΟΥ̣
[---]ΚΙΟΙΣ ","ηκου̣, enkióis",Greek,"ηκου̣, ενκιοις ","ηκου̣, enkióis"
"ΜΗ[--] &#60;:textus non legitur&#62;
ΠΟΛAΖΗ 
//ΕΤΕΙΜΗΚΤΤΟΝΠΔΡΙ////ΞΟ/// ATΤIΚΑΙΣ 
ΠΕΝΤΑΚOΣ[---]","no, polazi,",Greek,"μη, πολaζη, //ετειμηκττονπδρι////ξο/// atτiκαις, πεντακoς,","no, polazi,"
"
Ἀρτεμιδώρου
 Ζμυρναίου (:Σμυρναίου)
 ἰσόψηφα
 κύριος ω 
 πίστις ω ",", of Artemidorus, of Smyrna, of Smyrna, of Isothefa, lord oh, faith oh",Greek,", ἀρτεμιδώρου, ζμυρναίου σμυρναίου, ἰσόψηφα, κύριος ω, πίστις ω ",", of Artemidorus, of Smyrna, of Smyrna, of Isothefa, lord oh, faith oh"
χαῖρε ,hi,Greek,χαῖρε ,hi
"++[---]
φιλι+[---]","birthday, kisses",Greek,"γενεθλια, φιλινα","birthday, kisses"
" [μῆ]λ[ον]
 ἡδ[ονή]
 λόγο̣ς̣
 ὄνομα
 νή̣σας̣","μῆλον, ἡδονι, λόγο̣σ̣, ὄνομα, νι̣σας̣",Greek," μῆλον, ἡδονή, λόγο̣ς̣, ὄνομα, νή̣σας̣","μῆλον, ἡδονι, λόγο̣σ̣, ὄνομα, νι̣σας̣"
Νεῖλος,Nile,Greek,νεῖλος,Nile
Tύχη,luck,Greek,tύχη,luck
" κοντροκυνή=
 &#60;:vacat&#62; γις","kontrokini, son",Greek," κοντροκυνή, γις","kontrokini, son"
"
 ζῇς
 ζῇς
 ἔψυγμαι",“May you live!”,Greek,", ζῇς, ζῇς, ἔψυγμαι",", you live, you live, I cool down"
[---]ΜΩΣ ,&however,Greek,&μως ,&however
 [φιλῶ]  [ο]ὗ̣  ἀ̣ριθμὸς τνα,“I love a man whose number is 351.”,Greek, φιλῶ οὗ̣ ἀ̣ριθμὸς τνα,φιλῶ οὗ̣ ἀ̣rithὸς tna
"Ἡγεῖνος  εἶπ̣[εν]
 τ̣ὸν̣  ὀφθαλμ[ὸν]
 ἐν  τάχει  ἐθαραπεύ̣[θην]","“Hyginos said, ‘My eye was quickly healed’.”",Greek,"ἡγεῖνος εἶπ̣εν, τ̣ὸν̣ ὀφθαλμὸν, ἐν τάχει ἐθαραπεύ̣θην","ἐγεῖνος ἶπεν, τὸν̣ οφθαλμων, ἐν τάχει θαραπεντην"
"Νεικήτης
 ἐποίει",“Niketes made it.”,Greek,"νεικήτης, ἐποίει","neikitis, works"
"&#12296;:columna I&#12297;
[quid f]it? vi me, oculeì (:oculi), posquam (:postquam) deducxstis (:deduxistis) in ignem
[no]n ob vim vestreis (:vestris) largificatis geneis.
[porr]&#7885; non possunt lacrumae restinguere flamam (:flammam),
[hae]c os incendunt tabificantque animum. 

&#12296;:columna II&#12297;
Tiburtinus epoese (:&#7952;&#960;&#959;&#943;&#951;&#963;&#949;)",", quid fit vi me, oculi, postquam deduxistis in ignem, non ob vim vestris largificatis geneis., porró non possunt lacrumae restinguere flammam, haec os incendunt tabificantque animum.,,, tiburtinus epoese worked",Latin/Greek,", quid fit vi me, oculi, postquam deduxistis in ignem, non ob vim vestris largificatis geneis., porrọ non possunt lacrumae restinguere flammam, haec os incendunt tabificantque animum.,,, tiburtinus epoese ἐποίησε",", quid fit vi me, oculi, postquam deduxistis in ignem, non ob vim vestris largificatis geneis., porró non possunt lacrumae restinguere flammam, haec os incendunt tabificantque animum.,,, tiburtinus epoese worked"
calos Paris,calos paris,Latin/Greek,calos paris,calos paris
"&#949;&#955;&#945;&#946; (:&#7956;&#955;&#945;&#946;&#949;&#962;)
&#960;&#945;&#961;&#949;&#967;&#961;&#951;&#1010;&#959;&#1010; (:&#960;&#945;&#961;&#941;&#967;&#961;&#951;&#963;&#945;&#962;)
&#945;&#960;&#951;&#957;&#959;&#957;&#954;&#949;&#1010; (:&#7936;&#960;&#942;&#957;&#949;&#947;&#954;&#949;&#962;)
&#917;&#916;&#929;&#917;&#1017;","You took
you misused (?)
you brought back
EDRES",Greek,"ελαβ ἔλαβες, παρεχρηϲοϲ παρέχρησας, απηνονκεϲ ἀπήνεγκες, εδρεϲ",received
&#928;IIII,?4,Latin/Greek,πiiii,piiii
"&#922;&#941;&#955;&#1010;&#945; L(ucii) l(iberta) 
&#12314;XIX&#12315;","cell lucii liberta,",Latin/Greek,"κέλϲα lucii liberta, ","cell lucii liberta,"
"&#952;&#949;&#959;&#948;&#959;&#956;&#951;&#964;&#949; &#924; &#913;&#928;&#913;&#932;&#929;&#913;
&#945;&#7984;&#952;&#941;&#961;&#953;&#945;&#953; &#960;&#964;&#941;&#961;&#965;&#947;&#949;&#1010; &#948;&#972;&#955;&#953;&#959;&#965;","(other text here...) 
celestial wings of the crafty one",Greek,"θεοδομητε μ απατρα, αἰθέριαι πτέρυγεϲ δόλιου","theodomite me apatra, ethereal wings of deceit"
"&#7969; &#954;&#955;&#949;&#8150;&#1010; &#964;&#8134;&#1010; &#7940;&#961;&#954;&#955;&#945;&#1010;
&#7969; &#12296;:vacat&#12297; &#959;&#7985;","The key of the small box
the (fem. sing.)       /         the (masc. pl.)",Greek,"ἡ κλεῖϲ τῆϲ ἄρκλαϲ, ἡ οἱ","ἡ κλεῖϲ τῆϲ ἀρκλαϲ, ἡ οἱ"
Ahtus (:Anthus) apais(?) (:&#7940;&#960;&#945;&#953;&#962;),childless(?) Anthus,Latin/Greek,anthus apais ἄπαις,anthus apais
&#934;&#951;&#955;&#949;&#953;&#954;&#943;&#969;&#957; &#956;&#959; &#945;´ &#945;&#1010; &#947;´,"Felicio, one bushel, 3 asses",Latin/Greek,φηλεικίων μο α´ αϲ γ´,Phileikios mo a´ aϲ c´
&#923;&#945;&#964;&#959;&#947;&#941;&#957;&#949;&#953;&#945; &#7961;&#954;&#940;&#964;&#945; (:&#7961;&#954;&#940;&#964;&#951;),"Hecate, born of Leto",Greek,λατογένεια ἑκάτα ἑκάτη,one hundred and one people
&#7964;&#961;&#969;&#962;,Love,Greek,ἔρως,Eros
Nica Crete (:Chreste) issime (:ipsime),nica chreste ipsime,Latin/Greek,nica chreste ipsime,nica chreste ipsime
"[r]enibus hic 
Corvenius","renibus hic, corvenius",Greek,"renibus hic, corvenius","renibus hic, corvenius"
&#922;&#943;&#957;&#957;&#945;&#956;&#959;&#1010;,cinnamon,Greek,κίνναμοϲ,cinnamon
"((:Palma est posita inter verba et omnia scuto cum hastis inclusa sunt)) 
&#914;&#913;&#935;&#935;&#921;S (:Bacchis) &#916;&#927;&#924;&#925;&#913; (:domina)


",Bacchis (is) in charge,Latin/Greek,"palma est posita inter verba et omnia scuto cum hastis inclusa sunt, bacchis domina,,, ","palma est posita inter verba et omnia scuto cum hastis inclusa sunt, bacchis domina,,,"
&#7960;&#960;&#940;&#947;&#945;&#952;&#959;&#803;&#1010;&#803;,Epagathus,Greek,ἐπάγαθο̣ϲ̣,ἐπαγαθο̣ϲ̣
&#7778;&#969;&#963;as (:&#931;&#969;&#963;&#8118;&#962;),You are safe,Latin/Greek,ṣωσas σωσᾶς,You are safe
&#929;&#927;&#933;&#934;&#927;&#1017; (:Rufus),Rufus,Latin/Greek,rufus,rufus
&#934;&#953;&#955;&#8182; &#7975;&#962; &#7936;&#961;&#953;&#952;&#956;&#972;&#962; [---]&#913;,kiss ἧς number a,Greek,φιλῶ ἧς ἀριθμός α,kiss ἧς number a
"((:palma)) &#12296;:vacat&#12297; M
&#913;&#914;&#915;","palma m, avg",Greek,"palma m, αβγ","palma m, avg"
"&#923;&#965;&#954;&#961;&#943;&#969;&#957; 
&#960;&#965;&#947;&#943;&#950;&#953; (:&#960;&#965;&#947;&#943;&#950;&#949;&#953;)",Lucrio buggers.,Greek,"λυκρίων, πυγίζι πυγίζει","lykrian, pygizi pygize"
&#922;&#945;&#955;&#969;&#834;&#1010; &#956;&#945;&#953;&#959;&#961;[&#949;]&#1010; [---]&#953;&#954;&#945;,kalῶϲ majororeϲ UNKika,Latin/Greek,καλῶϲ μαιορεϲ UNKικα,kalῶϲ majororeϲ UNKika
&#1017;&#973;&#956;&#956;&#803;(&#945;&#967;&#959;&#962;),ϲymṃachos,Greek,ϲύμμ̣αχος,ϲymṃachos
calos Castrensis s,calos castrensis s,Latin/Greek,calos castrensis s,calos castrensis s
Dos pygiza (:&#948;&#8056;&#962; &#960;&#965;&#947;&#943;&#963;&#945;&#953;),Let me bugger!,Latin/Greek,dos pygiza δὸς πυγίσαι,dos pygiza δὸς pygisai
panta,always,Latin/Greek,panta,always
"Phoebus
cine&#948;u  (:cinaedus)","phoebus, cinedu cinaedus",Latin/Greek,"phoebus, cineδu cinaedus","phoebus, cinedu cinaedus"
"&#924;&#959;&#965;&#963;&#945;&#8150;&#959;&#962;
&#7952;&#957;&#952;&#940;&#948;&#949;
&#946;&#949;&#953;&#957;&#949;&#8150; (:&#946;&#953;&#957;&#949;&#8150;)","mousāios, Ṭṭhade, veineḥ vineẖ",Greek,"μουσαῖος, ἐνθάδε, βεινεῖ βινεῖ","mousāios, Ṭṭhade, veineḥ vineẖ"
&#927;&#913;&#922;&#921; (:&#934;&#913;&#922;&#921;),what a lens,Greek,οακι φακι,what a lens
&#928;&#941;&#964;&#961;&#969;,stone,Greek,πέτρω,stone
&#7961;&#961;&#956;&#8134;&#1010;,Hermes,Greek,ἑρμῆϲ,ἑρῆϲ
&#924;&#949;&#955;&#943;&#946;&#959;&#953;&#959;&#1010;,Meliboeus,Greek,μελίβοιοϲ,melibioϲ
MHNO&#1017;,less (?),Greek,mhnoϲ,mhnoϲ
Vos fortynati (:fortunati) v(---?),vos fortunate v,Latin/Greek,vos fortunati v,vos fortunate v
&#7945;&#961;&#960;&#959;&#961;(&#954;&#961;&#8118;&#962;),harporkras,Greek,ἁρπορκρᾶς,harporkras
Fru&#949;tus (:Fructus),fructus,Latin/Greek,fructus,fructus
Ikarus &#920;,ikarus i,Latin/Greek,ikarus θ,ikarus i
&#913;&#914;&#915;,a B C,Greek,αβγ,a B C
&#923;&#953;&#946;&#949;&#961;&#8118;&#955;&#953;&#962;,liberal,Greek,λιβερᾶλις,liberal
Antus &#968;&#969;&#955;&#942; Q,antus psolis q,Latin/Greek,antus ψωλή q,antus psolis q
"&#12296;:ad dextram&#12297;
&#8009; &#964;&#959;&#8166; &#916;&#953;&#8056;&#1010;
&#960;&#945;&#8150;&#1010; &#954;&#945;&#955;&#955;&#943;=
&#957;&#949;&#953;&#954;&#959;&#1010; (:&#954;&#945;&#955;&#955;&#943;&#957;&#953;&#954;&#959;&#1010;) &#7977;&#961;&#945;&#954;&#955;&#8134;&#1010;

&#12296;:ad sinistram&#12297;
C&#803;[---]&#913;&#916;&#913;&#921; (:&#7952;&#957;&#952;&#940;&#948;&#949;)
&#954;&#945;&#964;&#959;&#953;&#954;&#949;&#8150;
&#956;&#951;&#948;&#8050;&#957; &#949;&#7984;=
&#963;&#949;&#953;&#940;&#964;&#969; (:&#949;&#7984;&#963;&#943;&#964;&#969;)
&#954;&#945;&#954;&#972;&#956; (:&#954;&#945;&#954;&#972;&#957;)","Heracles, the triumphant son of Zeus, lives here. May no evil enter.",Greek,", ὁ τοῦ διὸϲ, παῖϲ καλλί, νεικοϲ καλλίνικοϲ ἡρακλῆϲ,,, c̣'αδαι ἐνθάδε, κατοικεῖ, μηδὲν εἰ, σειάτω εἰσίτω, κακόμ κακόν",.
&#7960;&#960;&#945;&#966;&#961;&#803;[&#8118;?]++++&#917;&#7778;,ἐπαφρ̣ᾶεṣ,Latin/Greek,ἐπαφρ̣ᾶεṣ,ἐπαφρ̣ᾶεṣ
"&#925;&#933;&#919;&#928;&#923;&#919;
&#918;&#917;&#926;&#937; (?) &#932;&#933;&#935;&#919;","Bride, I'm lucky",Greek,"νυηπλη, ζεξω τυχη","Bride, I'm lucky"
&#8125;&#917;&#960;&#945;&#966;&#961;&#959;&#948;&#943;&#964;&#959;&#1010;,Epaphroditus,Greek,᾽επαφροδίτοϲ,᾽ephroditoϲ
"RFV&#770;B M 
B&#923;

","rfv̂b m, bλ,,",Latin/Greek,"rfv̂b m, bλ,, ","rfv̂b m, bλ,,"
&#7944;&#955;&#941;&#803;&#958;&#945;&#957;&#948;R&#959;&#962;,Alexandros,Latin/Greek,ἀλέ̣ξανδrος,Alexander
"&#921;&#918;
&#920;H&#818;
&#922;&#918;","iz, θh̲, kz",Greek,"ιζ, θh̲, κζ","iz, θh̲, kz"
&#7944;&#946;&#942;&#1010;&#964;&#953;&#959;&#1010;,Abestios,Greek,ἀβήϲτιοϲ,ἀβήϲτιοϲ
"Sabine calos (:&#954;&#945;&#955;&#972;&#962;) Hermeros te amat ((:palma))
Sabine calos  HIIRMIROIITEAMATA ((:palma))","sabine calos good hermeros te amat palma, sabine calos hiirmiroiiteamata palma",Latin/Greek,"sabine calos καλός hermeros te amat palma, sabine calos hiirmiroiiteamata palma","sabine calos good hermeros te amat palma, sabine calos hiirmiroiiteamata palma"
"&#916;&#949;&#803;&#961;&#803;&#947;&#803;&#953;&#945;&#967;&#945;&#953;
&#954;&#945;&#957;&#803;&#964;&#961;&#953;&#945;&#803;","δε̣ρ̣γ̣iahai, kaṇtriạ",Greek,"δε̣ρ̣γ̣ιαχαι, καν̣τρια̣","δε̣ρ̣γ̣iahai, kaṇtriạ"
&#7960;&#960;&#945;&#966;&#8118; (:&#7960;&#960;&#945;&#966;&#961;&#8118;),touches touches,Greek,ἐπαφᾶ ἐπαφρᾶ,touches touches
&#917;&#803;&#933;&#803;Y&#803;ROIVI&#923;C,(incomprehensible series of characters),Latin/Greek,ε̣υ̣ỵroiviλc,ε̣υ̣ỵroivilc
[- - -] &#7964;&#961;&#969;&#962;&#818; [- - -],Love,Greek,! ἔρως̲ !,! ἔρ̲ !
"&#931;&#965;&#957;&#941;&#961;&#969;&#962;
&#954;&#945;&#955;&#8056;&#962; &#946;&#953;&#957;&#949;&#8150;&#962;","by the way, good video",Greek,"συνέρως, καλὸς βινεῖς","by the way, good video"
"((:caput hominis))

&#7981;&#963;&#965;&#967;&#959;&#962;
&#12296;:nomen scriptum ad dexteram imaginis scariphatae&#12297;",Ἥσυχος (Hesychus),Greek,"caput hominis,, ἥσυχος, ","caput hominis,, quiet,"
&#924;&#949;&#955;&#943;&#946;&#959;&#953;&#959;&#1010; [-]&#954;&#803;&#945;[&#954;]&#959;&#1010;,Meliboeus (is) bad,Greek,μελίβοιοϲ κ̣ακοϲ,meliboioϲ ḳakoϲ
"C&#818;a&#818;l&#818;os (:&#954;&#945;&#955;&#972;&#962;?) Paris isse (:ipse)
S&#818;eptentrio&#818;","c̲a̲l̲os good paris ipse, s̲eptentrio̲",Latin/Greek,"c̲a̲l̲os καλός paris ipse, s̲eptentrio̲","c̲a̲l̲os good paris ipse, s̲eptentrio̲"
&#924;&#959;&#955;&#945; &#966;&#959;&#965;&#964;&#959;&#965;&#964;&#961;&#953;&#962;,mola fututris,Latin/Greek,μολα φουτουτρις,mola fututris
